acc.x, acc.y, acc.z, gyro.x, gyro.y, gyro.z, magn.x, magn.y, magn.z, roll, pitch, yaw, roll_var, pitch_var, yaw_var, kf_dt, throttle, command_roll, command_pitch, command_yaw, pid_roll, pid_pitch, pid_yaw, motors_armed, m1_speed, m2_speed, m3_speed, m4_speed
-0.730409, -0.419342, 9.839287, 0.013592, 0.066584, 0.001833, 7.380883, 3.873137, -45.761471, 1.707779, 1.271272, 152.327560, 0.076320, 0.017320, 0.001331, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -1.707779, -1.271272, -0.000000, 0, 1080, 1082, 1095, 1080
-0.713061, -0.384646, 9.844671, 0.016188, 0.072235, -0.004734, 6.971645, 2.762350, -46.009941, 1.188754, 0.005061, 152.298843, 0.076286, 0.017325, 0.001331, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -1.188754, -0.005061, 0.000000, 0, 1080, 1086, 1086, 1080
-0.713061, -0.372682, 9.857831, 0.020464, 0.067959, -0.003360, 7.030108, 3.916983, -45.790707, 1.724040, 1.239767, 152.345474, 0.076253, 0.017330, 0.001330, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -1.724040, -1.239767, -0.000000, 0, 1080, 1082, 1095, 1080
-0.721436, -0.364905, 9.859627, 0.014203, 0.063377, 0.002291, 7.293190, 4.121602, -46.068401, 0.929493, 0.124966, 152.235245, 0.076222, 0.017332, 0.001330, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.929493, -0.124966, 0.000000, 0, 1080, 1084, 1085, 1080
-0.738186, -0.384048, 9.830912, 0.022297, 0.066279, 0.002596, 7.015493, 4.004677, -46.346100, 1.831687, 1.147110, 152.316681, 0.076193, 0.017332, 0.001329, 79944, 0.000000, 0.000000, 0.000000, 0.000000, -1.831687, -1.147110, -0.000000, 0, 1080, 1083, 1095, 1080
-0.720838, -0.400798, 9.872787, 0.016493, 0.066737, 0.003054, 7.351652, 3.916983, -46.126862, 0.833153, 0.209359, 152.201096, 0.076165, 0.017331, 0.001328, 79936, 0.000000, 0.000000, 0.000000, 0.000000, -0.833153, -0.209359, 0.000000, 0, 1080, 1083, 1085, 1080
-0.711267, -0.404387, 9.814162, 0.011301, 0.071929, -0.003665, 7.527039, 3.683133, -46.199944, 2.059703, 0.827166, 152.362427, 0.076142, 0.017326, 0.001328, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.059703, -0.827166, -0.000000, 0, 1080, 1086, 1094, 1080
-0.713659, -0.400798, 9.838689, 0.012523, 0.070708, -0.001985, 7.468577, 3.288512, -46.185326, 0.828547, 0.224245, 152.260010, 0.076119, 0.017321, 0.001327, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.828547, -0.224245, 0.000000, 0, 1080, 1083, 1085, 1080
-0.739382, -0.380459, 9.813564, 0.017104, 0.067653, 0.000305, 7.483192, 3.317743, -46.316864, 2.038108, 0.882933, 152.416382, 0.076095, 0.017316, 0.001327, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.038108, -0.882933, -0.000000, 0, 1080, 1085, 1094, 1080
-0.730409, -0.382253, 9.828520, 0.017257, 0.071319, -0.001680, 7.848582, 3.390821, -45.805321, 0.817456, 0.263107, 152.318054, 0.076072, 0.017311, 0.001327, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.817456, -0.263107, 0.000000, 0, 1080, 1082, 1085, 1080
-0.711865, -0.394218, 9.807582, 0.016799, 0.065363, 0.002291, 7.278574, 3.595440, -46.375328, 2.099047, 0.761203, 152.472107, 0.076049, 0.017305, 0.001326, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -2.099047, -0.761203, -0.000000, 0, 1080, 1086, 1094, 1080
-0.727418, -0.367896, 9.823733, 0.012523, 0.064752, 0.000305, 7.614733, 3.566209, -46.185326, 0.833678, 0.237264, 152.350372, 0.076027, 0.017299, 0.001326, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.833678, -0.237264, 0.000000, 0, 1080, 1083, 1085, 1080
-0.728615, -0.404387, 9.834501, 0.015272, 0.061697, 0.001222, 7.103186, 3.624671, -45.542240, 1.996978, 0.964130, 152.492172, 0.076002, 0.017296, 0.001325, 79948, 0.000000, 0.000000, 0.000000, 0.000000, -1.996978, -0.964130, -0.000000, 0, 1080, 1085, 1095, 1080
-0.719641, -0.392423, 9.842876, 0.015730, 0.066279, 0.002291, 7.190880, 3.478515, -45.761471, 0.856554, 0.203960, 152.378464, 0.075977, 0.017292, 0.001325, 79940, 0.000000, 0.000000, 0.000000, 0.000000, -0.856554, -0.203960, 0.000000, 0, 1080, 1083, 1085, 1080
